,title,link
0,Sol Oasis Marrakech,/Hotel_Review-g293734-d19656581-Reviews-Sol_Oasis_Marrakech-Marrakech_Marrakech_Safi.html
1,Moevenpick Hotel Mansour Eddahbi Marrakech,/Hotel_Review-g293734-d302479-Reviews-Moevenpick_Hotel_Mansour_Eddahbi_Marrakech-Marrakech_Marrakech_Safi.html
2,Four Seasons Resort Marrakech,/Hotel_Review-g293734-d2052505-Reviews-Four_Seasons_Resort_Marrakech-Marrakech_Marrakech_Safi.html
3,Aqua Mirage Marrakech Hotel Club,/Hotel_Review-g293734-d7856438-Reviews-Aqua_Mirage_Marrakech_Hotel_Club-Marrakech_Marrakech_Safi.html
4,Kenzi Club Agdal Medina,/Hotel_Review-g293734-d1941087-Reviews-Kenzi_Club_Agdal_Medina-Marrakech_Marrakech_Safi.html
5,"The Oberoi, Marrakech",/Hotel_Review-g293734-d19141477-Reviews-The_Oberoi_Marrakech-Marrakech_Marrakech_Safi.html
6,Be Live Collection Marrakech Adults Only,/Hotel_Review-g293734-d12199882-Reviews-Be_Live_Collection_Marrakech_Adults_Only-Marrakech_Marrakech_Safi.html
7,Sofitel Agadir Thalassa Sea & Spa,/Hotel_Review-g293731-d2573287-Reviews-Sofitel_Agadir_Thalassa_Sea_Spa-Agadir_Souss_Massa.html
8,TUI BLUE Medina Gardens,/Hotel_Review-g293734-d6621142-Reviews-TUI_BLUE_Medina_Gardens-Marrakech_Marrakech_Safi.html
9,Iberostar Club Palmeraie Marrakech,/Hotel_Review-g293734-d1053257-Reviews-Iberostar_Club_Palmeraie_Marrakech-Marrakech_Marrakech_Safi.html
10,La Maison Arabe,/Hotel_Review-g293734-d303075-Reviews-La_Maison_Arabe-Marrakech_Marrakech_Safi.html
11,La Mamounia Marrakech,/Hotel_Review-g293734-d301256-Reviews-La_Mamounia_Marrakech-Marrakech_Marrakech_Safi.html
12,"Eden Andalou Suites, Aquapark & Spa",/Hotel_Review-g293734-d1116921-Reviews-Eden_Andalou_Suites_Aquapark_Spa-Marrakech_Marrakech_Safi.html
13,Hotel Argana,/Hotel_Review-g293731-d557096-Reviews-Hotel_Argana-Agadir_Souss_Massa.html
14,Riad Dar Anika,/Hotel_Review-g293734-d609383-Reviews-Riad_Dar_Anika-Marrakech_Marrakech_Safi.html
15,Hotel Sofitel Rabat Jardin des Roses,/Hotel_Review-g293736-d300677-Reviews-Hotel_Sofitel_Rabat_Jardin_des_Roses-Rabat_Rabat_Sale_Kenitra.html
16,Hotel & Spa Le Doge,/Hotel_Review-g293732-d1776431-Reviews-Hotel_Spa_Le_Doge-Casablanca_Casablanca_Settat.html
17,Sofitel Marrakech Lounge & Spa Hotel,/Hotel_Review-g293734-d299685-Reviews-Sofitel_Marrakech_Lounge_Spa_Hotel-Marrakech_Marrakech_Safi.html
18,Iberostar Founty Beach,/Hotel_Review-g293731-d549638-Reviews-Iberostar_Founty_Beach-Agadir_Souss_Massa.html
19,Riad Karmela,/Hotel_Review-g293734-d625586-Reviews-Riad_Karmela-Marrakech_Marrakech_Safi.html
20,Kenzi Rose Garden,/Hotel_Review-g293734-d304468-Reviews-Kenzi_Rose_Garden-Marrakech_Marrakech_Safi.html
21,Andalla Riad & Spa,/Hotel_Review-g293734-d12219158-Reviews-Andalla_Riad_Spa-Marrakech_Marrakech_Safi.html
22,Hotel & Ryads Barriere Le Naoura Marrakech,/Hotel_Review-g293734-d1194795-Reviews-Hotel_Ryads_Barriere_Le_Naoura_Marrakech-Marrakech_Marrakech_Safi.html
23,Aqua Fun Club Marrakech,/Hotel_Review-g293734-d2177899-Reviews-Aqua_Fun_Club_Marrakech-Marrakech_Marrakech_Safi.html
24,Riad Hayati,/Hotel_Review-g293734-d647802-Reviews-Riad_Hayati-Marrakech_Marrakech_Safi.html
25,L'Oriental Medina Riad & Spa,/Hotel_Review-g293734-d13315058-Reviews-L_Oriental_Medina_Riad_Spa-Marrakech_Marrakech_Safi.html
26,Four Seasons Hotel Casablanca,/Hotel_Review-g293732-d8782614-Reviews-Four_Seasons_Hotel_Casablanca-Casablanca_Casablanca_Settat.html
27,Hilton Garden Inn Tanger City Center,/Hotel_Review-g293737-d8672446-Reviews-Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima.html
28,Les Jardins de la Koutoubia,/Hotel_Review-g293734-d316717-Reviews-Les_Jardins_de_la_Koutoubia-Marrakech_Marrakech_Safi.html
29,Hotel RIU Tikida Beach,/Hotel_Review-g293731-d576215-Reviews-Hotel_RIU_Tikida_Beach-Agadir_Souss_Massa.html
